Тип устройства,Тип показаний,Тег API,Тег SCADA,Kind,ValueType
221,HeatMoment,Q,Q Тепловая энергия подающий поток,current,double
221,HeatMoment,Q2,Q Тепловая энергия обратный поток,current,double
221,HeatMoment,Q3,Q Тепловая энергия поток подпитки,current,double
221,HeatMoment,V,V Объем теплоносителя подающий поток,current,double
221,HeatMoment,V2,V Объем теплоносителя обратный поток,current,double
221,HeatMoment,V3,V Объем теплоносителя поток подпитки,current,double
221,HeatMoment,G,G Масса теплоносителя подающий поток,current,double
221,HeatMoment,G2,G Масса теплоносителя обратный поток,current,double
221,HeatMoment,G3,G Масса теплоносителя поток подпитки,current,double
221,HeatMoment,CQ,CQ Тепловая мощность подающий поток,current,double
221,HeatMoment,CQ2,CQ Тепловая мощность обратный поток,current,double
221,HeatMoment,CQ3,CQ Тепловая мощность поток подпитки,current,double
221,HeatMoment,CV,CV Расход теплоносителя подающий поток,current,double
221,HeatMoment,CV2,CV Расход теплоносителя обратный поток,current,double
221,HeatMoment,CV3,CV Расход теплоносителя поток подпитки,current,double
221,HeatMoment,CG,CG Массовый расход подающий поток,current,double
221,HeatMoment,CG2,CG Массовый расход обратный поток,current,double
221,HeatMoment,CG3,CG Массовый расход поток подпитки,current,double
221,HeatMoment,IV,IV Объем по импульсному входу 1,current,double
221,HeatMoment,IV2,IV Объем по импульсному входу 2,current,double
221,HeatMoment,IV3,IV Объем по импульсному входу 3,current,double
221,HeatMoment,IV4,IV Объем по импульсному входу 4,current,double
221,HeatMoment,T,T Температура подающий поток,current,double
221,HeatMoment,T2,T Температура обратный поток,current,double
221,HeatMoment,T3,T Температура поток подпитки,current,double
221,HeatMoment,T4,T Температура окружающей среды,current,double
221,HeatMoment,P,P Давление подающий поток,current,double
221,HeatMoment,P2,P Давление обратный поток,current,double
221,HeatMoment,P3,P Давление поток подпитки,current,double
221,HeatMoment,Err,Err Флаги ошибок,current,double
221,HeatMoment,Top,Top Наработка подсистемы,current,double
221,HeatMoment,terr,terr Время работы с ошибками,current,double
221,HeatMoment,tok,tok Время нормальной работы,current,double
221,HeatMoment,UBat,UBat Напряжение батареи,current,double
221,HeatMoment,tmin,tmin Время расход меньше минимального,current,double
221,HeatMoment,tmax,tmax Время расход больше максимального,current,double
221,HeatMoment,dT,dT Разность температур,current,double
221,HeatMoment,tpow,tpow Время отсутствия питания,current,double
221,HeatMoment,tall,tall Общее учетное время,current,double
221,HeatMoment,tstop,tstop Время простоя теплосистемы,current,double
221,HeatMoment,channel,channel Канал измерения,current,double
221,HeatHour,Q,Q Тепловая энергия подающий поток,history,double
221,HeatHour,Q2,Q Тепловая энергия обратный поток,history,double
221,HeatHour,Q3,Q Тепловая энергия поток подпитки,history,double
221,HeatHour,V,V Объем теплоносителя подающий поток,history,double
221,HeatHour,V2,V Объем теплоносителя обратный поток,history,double
221,HeatHour,V3,V Объем теплоносителя поток подпитки,history,double
221,HeatHour,G,G Масса теплоносителя подающий поток,history,double
221,HeatHour,G2,G Масса теплоносителя обратный поток,history,double
221,HeatHour,G3,G Масса теплоносителя поток подпитки,history,double
221,HeatHour,CQ,CQ Тепловая мощность подающий поток,history,double
221,HeatHour,CQ2,CQ Тепловая мощность обратный поток,history,double
221,HeatHour,CQ3,CQ Тепловая мощность поток подпитки,history,double
221,HeatHour,CV,CV Расход теплоносителя подающий поток,history,double
221,HeatHour,CV2,CV Расход теплоносителя обратный поток,history,double
221,HeatHour,CV3,CV Расход теплоносителя поток подпитки,history,double
221,HeatHour,CG,CG Массовый расход подающий поток,history,double
221,HeatHour,CG2,CG Массовый расход обратный поток,history,double
221,HeatHour,CG3,CG Массовый расход поток подпитки,history,double
221,HeatHour,IV,IV Объем по импульсному входу 1,history,double
221,HeatHour,IV2,IV Объем по импульсному входу 2,history,double
221,HeatHour,IV3,IV Объем по импульсному входу 3,history,double
221,HeatHour,IV4,IV Объем по импульсному входу 4,history,double
221,HeatHour,T,T Температура подающий поток,history,double
221,HeatHour,T2,T Температура обратный поток,history,double
221,HeatHour,T3,T Температура поток подпитки,history,double
221,HeatHour,Т4,T Температура окружающей среды,history,double
221,HeatHour,P,P Давление подающий поток,history,double
221,HeatHour,P2,P Давление обратный поток,history,double
221,HeatHour,P3,P Давление поток подпитки,history,double
221,HeatHour,Err,Err Флаги ошибок,history,double
221,HeatHour,Top,Top Наработка подсистемы,history,double
221,HeatHour,terr,terr Время работы с ошибками,history,double
221,HeatHour,tok,tok Время нормальной работы,history,double
221,HeatHour,UBat,UBat Напряжение батареи,history,double
221,HeatHour,tmin,tmin Время расход меньше минимального,history,double
221,HeatHour,tmax,tmax Время расход больше максимального,history,double
221,HeatHour,dT,dT Разность температур,history,double
221,HeatHour,tpow,tpow Время отсутствия питания,history,double
221,HeatHour,tall,tall Общее учетное время,history,double
221,HeatHour,tstop,tstop Время простоя теплосистемы,history,double